,시장,티커,종목이름
657,KOSPI,226320,잇츠한불
658,KOSPI,317400,자이에스앤디
659,KOSPI,033240,자화전자
660,KOSPI,000950,전방
661,KOSPI,348950,제이알글로벌리츠
662,KOSPI,194370,제이에스코퍼레이션
663,KOSPI,025620,제이준코스메틱
664,KOSPI,036420,제이콘텐트리
665,KOSPI,030000,제일기획
666,KOSPI,271980,제일약품
667,KOSPI,001560,제일연마
668,KOSPI,002620,제일파마홀딩스
669,KOSPI,006220,제주은행
670,KOSPI,089590,제주항공
671,KOSPI,004910,조광페인트
672,KOSPI,004700,조광피혁
673,KOSPI,001550,조비
674,KOSPI,000480,조선내화
675,KOSPI,120030,조선선재
676,KOSPI,018470,조일알미늄
677,KOSPI,002600,조흥
678,KOSPI,185750,종근당
679,KOSPI,063160,종근당바이오
680,KOSPI,001630,종근당홀딩스
681,KOSPI,044380,주연테크
682,KOSPI,013890,지누스
683,KOSPI,013870,지엠비코리아
684,KOSPI,071320,지역난방공사
685,KOSPI,010580,지코
686,KOSPI,035000,지투알
687,KOSPI,088790,진도
688,KOSPI,003780,진양산업
689,KOSPI,010640,진양폴리
690,KOSPI,100250,진양홀딩스
691,KOSPI,051630,진양화학
692,KOSPI,272450,진에어
693,KOSPI,011000,진원생명과학
694,KOSPI,002780,진흥기업
695,KOSPI,002787,진흥기업2우B
696,KOSPI,002785,진흥기업우B
697,KOSPI,009310,참엔지니어링
698,KOSPI,000650,천일고속
699,KOSPI,033250,체시스
700,KOSPI,035720,카카오
701,KOSPI,323410,카카오뱅크
702,KOSPI,006380,카프로
703,KOSPI,109070,컨버즈
704,KOSPI,001620,케이비아이동국실업
705,KOSPI,029460,케이씨
706,KOSPI,281820,케이씨텍
707,KOSPI,145270,케이탑리츠
708,KOSPI,357120,코람코에너지리츠
709,KOSPI,007815,코리아써우
710,KOSPI,007810,코리아써키트
711,KOSPI,00781K,코리아써키트2우B
712,KOSPI,003690,코리안리
713,KOSPI,192820,코스맥스
714,KOSPI,044820,코스맥스비티아이
715,KOSPI,005070,코스모신소재
716,KOSPI,005420,코스모화학
717,KOSPI,071950,코아스
718,KOSPI,002020,코오롱
719,KOSPI,003070,코오롱글로벌
720,KOSPI,003075,코오롱글로벌우
721,KOSPI,144620,코오롱머티리얼
722,KOSPI,002025,코오롱우
723,KOSPI,120110,코오롱인더
724,KOSPI,120115,코오롱인더우
725,KOSPI,138490,코오롱플라스틱
726,KOSPI,021240,코웨이
727,KOSPI,031820,콤텍시스템
728,KOSPI,192400,쿠쿠홀딩스
729,KOSPI,284740,쿠쿠홈시스
730,KOSPI,015590,큐로
731,KOSPI,264900,크라운제과
732,KOSPI,26490K,크라운제과우
733,KOSPI,005740,크라운해태홀딩스
734,KOSPI,005745,크라운해태홀딩스우
735,KOSPI,259960,크래프톤
736,KOSPI,020120,키다리스튜디오
737,KOSPI,039490,키움증권
738,KOSPI,014580,태경비케이
739,KOSPI,015890,태경산업
740,KOSPI,006890,태경케미컬
741,KOSPI,003240,태광산업
742,KOSPI,011280,태림포장
743,KOSPI,004100,태양금속
744,KOSPI,004105,태양금속우
745,KOSPI,009410,태영건설
